Rank,URL,Clicks,Impressions,CTR%,Position,Expected_CTR%,CTR_Gap%,Potential_Additional_Clicks,Priority_Score
202,https://jo-katsu.com/campus/5070/,1,1884,0.05,5.2,5.0,+4.95,93,93
203,https://jo-katsu.com/campus/5092/,7,1422,0.49,3.7,7.0,+6.51,92,93
204,https://jo-katsu.com/campus/37221,346,6262,5.53,3.5,7.0,+1.47,92,92
205,https://jo-katsu.com/campus/6186/,48,3498,1.37,6.3,4.0,+2.63,91,92
206,https://jo-katsu.com/campus/26661/,21,2233,0.94,4.9,5.0,+4.06,90,91
207,https://jo-katsu.com/campus/1886/,1,2276,0.04,6.0,4.0,+3.96,90,90
208,https://jo-katsu.com/campus/26261/,26,4580,0.57,7.7,2.5,+1.93,88,88
209,https://jo-katsu.com/campus/37255,332,6004,5.53,3.6,7.0,+1.47,88,88
210,https://jo-katsu.com/campus/13449/,127,7161,1.77,6.7,3.0,+1.23,87,88
211,https://jo-katsu.com/campus/6728/,19,2140,0.89,4.6,5.0,+4.11,88,88
212,https://jo-katsu.com/campus/5187/,62,7508,0.83,9.0,2.0,+1.17,88,88
213,https://jo-katsu.com/campus/10194/,10,1390,0.72,4.3,7.0,+6.28,87,87
214,https://jo-katsu.com/campus/35168,8,1905,0.42,4.7,5.0,+4.58,87,87
215,https://jo-katsu.com/campus/5697/,3,1287,0.23,4.5,7.0,+6.77,87,87
216,https://jo-katsu.com/campus/12196/,58,4835,1.20,7.4,3.0,+1.80,87,87
217,https://jo-katsu.com/campus/6399/,68,3865,1.76,6.4,4.0,+2.24,86,87
218,https://jo-katsu.com/campus/22121/,16,2555,0.63,6.4,4.0,+3.37,86,86
219,https://jo-katsu.com/campus/36741,26,2800,0.93,5.6,4.0,+3.07,86,86
220,https://jo-katsu.com/campus/26759/,13,1979,0.66,5.4,5.0,+4.34,85,86
221,https://jo-katsu.com/campus/37258,101,2667,3.79,4.1,7.0,+3.21,85,86
222,https://jo-katsu.com/campus/37252,27,1602,1.69,4.4,7.0,+5.31,85,85
223,https://jo-katsu.com/campus/32488/,4,890,0.45,3.2,10.0,+9.55,85,85
224,https://jo-katsu.com/campus/7416/,8,1325,0.60,3.5,7.0,+6.40,84,85
225,https://jo-katsu.com/campus/10302/,3,1251,0.24,4.3,7.0,+6.76,84,85
226,https://jo-katsu.com/campus/6867/,26,2758,0.94,5.7,4.0,+3.06,84,84
227,https://jo-katsu.com/campus/11224/,27,2778,0.97,5.7,4.0,+3.03,84,84
228,https://jo-katsu.com/campus/6073/,21,2615,0.80,6.3,4.0,+3.20,83,84
229,https://jo-katsu.com/campus/19625/,31,2865,1.08,6.0,4.0,+2.92,83,84
230,https://jo-katsu.com/campus/6101/,56,1995,2.81,4.2,7.0,+4.19,83,84
231,https://jo-katsu.com/campus/26665/,43,2527,1.70,4.6,5.0,+3.30,83,83
232,https://jo-katsu.com/campus/5036/,7,2255,0.31,6.0,4.0,+3.69,83,83
233,https://jo-katsu.com/campus/9070/,118,6710,1.76,7.3,3.0,+1.24,83,83
234,https://jo-katsu.com/campus/3779/,85,4199,2.02,6.3,4.0,+1.98,82,83
235,https://jo-katsu.com/campus/33331,82,2344,3.50,4.4,7.0,+3.50,82,82
236,https://jo-katsu.com/campus/25620/,111,2757,4.03,4.4,7.0,+2.97,81,82
237,https://jo-katsu.com/campus/9123/,39,4840,0.81,7.7,2.5,+1.69,82,82
238,https://jo-katsu.com/campus/5833/,44,3134,1.40,5.8,4.0,+2.60,81,81
239,https://jo-katsu.com/campus/25940/,99,3606,2.75,4.7,5.0,+2.25,81,81
240,https://jo-katsu.com/campus/11220/,76,5225,1.45,6.9,3.0,+1.55,80,81
241,https://jo-katsu.com/campus/18767/,66,2096,3.15,4.1,7.0,+3.85,80,81
242,https://jo-katsu.com/campus/31482,62,3567,1.74,6.0,4.0,+2.26,80,81
243,https://jo-katsu.com/campus/6237/,3,2782,0.11,6.6,3.0,+2.89,80,80
244,https://jo-katsu.com/campus/5942/,6,2141,0.28,5.9,4.0,+3.72,79,80
245,https://jo-katsu.com/campus/33701/,63,3558,1.77,6.0,4.0,+2.23,79,79
246,https://jo-katsu.com/campus/7795/,11,903,1.22,3.2,10.0,+8.78,79,79
247,https://jo-katsu.com/campus/37238,45,1766,2.55,3.6,7.0,+4.45,78,79
248,https://jo-katsu.com/campus/5800/,14,2308,0.61,6.1,4.0,+3.39,78,78
249,https://jo-katsu.com/campus/36900,39,1172,3.33,3.2,10.0,+6.67,78,78
250,https://jo-katsu.com/campus/9267/,6,1679,0.36,5.2,5.0,+4.64,77,78
251,https://jo-katsu.com/campus/5151/,2,1136,0.18,3.9,7.0,+6.82,77,77
252,https://jo-katsu.com/campus/5671/,10,2177,0.46,6.2,4.0,+3.54,77,77
253,https://jo-katsu.com/campus/1798/,0,770,0.00,3.1,10.0,+10.00,77,77
254,https://jo-katsu.com/campus/11949/,16,2326,0.69,6.3,4.0,+3.31,77,77
255,https://jo-katsu.com/campus/14860/,93,2426,3.83,4.0,7.0,+3.17,76,77
256,https://jo-katsu.com/campus/6255/,12,1769,0.68,5.3,5.0,+4.32,76,76
257,https://jo-katsu.com/campus/32219,10,862,1.16,3.4,10.0,+8.84,76,76
258,https://jo-katsu.com/campus/20574/,30,2655,1.13,6.2,4.0,+2.87,76,76
259,https://jo-katsu.com/campus/6893/,33,2728,1.21,6.5,4.0,+2.79,76,76
260,https://jo-katsu.com/campus/24060/,25,2023,1.24,4.6,5.0,+3.76,76,76
261,https://jo-katsu.com/campus/5901/,4,1594,0.25,5.4,5.0,+4.75,75,76
262,https://jo-katsu.com/campus/10877/,21,1927,1.09,4.8,5.0,+3.91,75,75
263,https://jo-katsu.com/campus/20818/,117,3844,3.04,5.4,5.0,+1.96,75,75
264,https://jo-katsu.com/campus/6894/,17,1317,1.29,4.1,7.0,+5.71,75,75
265,https://jo-katsu.com/campus/36733,27,1456,1.85,4.4,7.0,+5.15,74,75
266,https://jo-katsu.com/campus/909/,6,1144,0.52,4.2,7.0,+6.48,74,74
267,https://jo-katsu.com/campus/8740/,47,2419,1.94,5.4,5.0,+3.06,73,74
268,https://jo-katsu.com/campus/6196/,36,2199,1.64,5.3,5.0,+3.36,73,74
269,https://jo-katsu.com/campus/5946/,210,9463,2.22,6.7,3.0,+0.78,73,74
270,https://jo-katsu.com/campus/8558/,261,4775,5.47,4.3,7.0,+1.53,73,73
271,https://jo-katsu.com/campus/35188/,23,3194,0.72,7.0,3.0,+2.28,72,73
272,https://jo-katsu.com/campus/22214/,4,1913,0.21,5.6,4.0,+3.79,72,73
273,https://jo-katsu.com/campus/22532/,6,2606,0.23,6.6,3.0,+2.77,72,72
274,https://jo-katsu.com/campus/6394/,11,2065,0.53,5.7,4.0,+3.47,71,72
275,https://jo-katsu.com/campus/23653/,24,3114,0.77,7.2,3.0,+2.23,69,69
276,https://jo-katsu.com/campus/21942/,7,1088,0.64,4.3,7.0,+6.36,69,69
277,https://jo-katsu.com/campus/9600/,5,738,0.68,3.4,10.0,+9.32,68,69
278,https://jo-katsu.com/campus/14973/,22,1814,1.21,5.3,5.0,+3.79,68,69
279,https://jo-katsu.com/campus/33706/,2,1009,0.20,4.3,7.0,+6.80,68,69
280,https://jo-katsu.com/campus/18509/,8,1529,0.52,5.1,5.0,+4.48,68,68
281,https://jo-katsu.com/campus/33843,21,1268,1.66,3.7,7.0,+5.34,67,68
282,https://jo-katsu.com/campus/5123/,5,1811,0.28,6.2,4.0,+3.72,67,67
283,https://jo-katsu.com/campus/26871/,19,2157,0.88,6.0,4.0,+3.12,67,67
284,https://jo-katsu.com/campus/5692/,13,1602,0.81,4.7,5.0,+4.19,67,67
285,https://jo-katsu.com/campus/33767,16,1188,1.35,3.7,7.0,+5.65,67,67
286,https://jo-katsu.com/campus/19624/,26,3729,0.70,7.8,2.5,+1.80,67,67
287,https://jo-katsu.com/campus/26063/,9,1899,0.47,6.5,4.0,+3.53,66,67
288,https://jo-katsu.com/campus/23657/,39,2648,1.47,5.5,4.0,+2.53,66,67
289,https://jo-katsu.com/campus/5830/,2,1379,0.15,4.6,5.0,+4.85,66,67
290,https://jo-katsu.com/campus/36897,59,2504,2.36,4.6,5.0,+2.64,66,66
291,https://jo-katsu.com/campus/20272/,2,676,0.30,3.1,10.0,+9.70,65,66
292,https://jo-katsu.com/campus/36896,16,1160,1.38,3.9,7.0,+5.62,65,65
293,https://jo-katsu.com/campus/11246/,22,1731,1.27,4.7,5.0,+3.73,64,65
294,https://jo-katsu.com/campus/26747/,0,918,0.00,4.3,7.0,+7.00,64,64
295,https://jo-katsu.com/campus/6406/,18,1167,1.54,3.9,7.0,+5.46,63,64
296,https://jo-katsu.com/campus/33690,31,2363,1.31,6.5,4.0,+2.69,63,64
